tire_key,tire_no,tire_no_raw,source_pdf_page,size_raw,manufacturer_code,manufacturer_name,brand_name_raw,cords_raw,construction_type,construction_name,construction_source,remarks_raw,mapped_package_count,exact_ocr_package_count,best_mapping_confidence,first_data_volume,first_data_page,measurement_page_count,cornering_coeff_page_count,braking_coeff_page_count,evidence_class,transcription_status,identity_scope,racing_applicability_default,curve_digitization_status
TIRF-024,24,024,216,G78-15,DU,Dunlop,Goldseal Sport Belted,2P+ZF/2P,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-025,25,025,216,H78-15,DU,Dunlop,"Goldseal Sport Belted ""78.""",ZP+2F/2P,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,3,99,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-026,26,026,216,J78-15,DU,Dunlop,Goldseal 78 Sport Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,3,107,1,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-027,27,OZ7,216,L78-15,DU,Dunlop,Golds~al 78 Sport Belted,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,3,115,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-028,28,OZ8,216,G78-15,DU,Dunlop,CW 144Silen Traction Belted,ZP+2F/ZP,BB,Bias Belted,Appendix B OCR / direct row,Snow,1,0,HIGH,3,123,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-029,29,OZ9,216,BR70-13,GY,Goodyear,Custom Steelgard Radial,ZP+ZS+IN /ZP,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,132,4,1,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-030,30,030,216,DR78-14,GY,Goodyear,Custom Steelgard Radial,2P+2S+1N /ZP,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,148,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-031,31,031,216,DR78-14,GY,Goodyear,Custom Steelgard Radial,ZP+2S+1N !2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,156,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-032,32,032,216,ER78-14,GY,Goodyear,Custom Steelgard Radial,2P+2S+1N /ZP,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,164,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-033,33,033,216,GR78-14,GY,Goodyear,Custom Steelgard Radial,2P+ZS+IN /ZP,R,Radial Ply,Appendix B OCR / direct row,Correlation tests,1,0,MEDIUM,3,172,3,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-034,34,034,217,HR78-14,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-035,35,035,217,I GR70-15,GY,Goodyear,Custom Stee1gard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-036,36,036,217,GR70-15,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,188,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-037,37,037,217,HR70-15,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,196,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-038,38,038,217,GR78-15,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,204,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-039,39,039,217,HR78-15,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,212,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-040,40,040,217,JR78-15,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,220,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-041,41,041,217,LR78-15,GY,Goodyear,Custom Steelgard Radial 2P+2S+1N,/2P,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,228,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-042,42,042,217,! GR78-15,GY,Goodyear,Suburbanite Steel Belted Radial 2P+2SI2P,,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,236,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-043,43,043,217,HR78-15,GY,Goodyear,Suburbanite Steel Belted Radial 2P+2S/2P,,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,244,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-044,44,044,217,FR70-14 :,DU,Dunlop,Elite Steel Radial 2R+2S/2R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,252,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-045,45,045,217,GR70-14,DU,Dunlop,Elite Steel Radial 2R+2S/ZR,,R,Radial Ply,Appendix B OCR / direct row,,1,0,MEDIUM,3,260,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-048,48,048,217,155 SR13,BFG,BF Goodrich,GT 100 6R/2R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,268,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-049,49,049,217,165 SR13,BFG,BF Goodrich,GT 100 6R/2R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,276,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-050,50,050,217,175 SR13,BFG,BF Goodrich,GT 100 6R/2R,,R,Radial Ply,Appendix B OCR / direct row,,1,0,LOW,3,284,4,2,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-051,51,051,217,E60-14,GY,Goodyear,Polyglas GT ZP+2FI2P,,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-052,52,052,217,F60-14,GY,Goodyear,Polyglas GT 2P+2F/2P,,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,300,4,2,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-053,53,053,217,G60-14,GY,Goodyear,Polyglas GT Belted 2P+ZF/2P,,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-054,54,054,217,G60-15,GY,Goodyear,Polyglas GT 2P+ZF/ZP,,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,316,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-055,55,055,217,A70-13,GY,Goodyear,Custom Wide Tread Polyglas 2P+2F/ZP,,BB,Bias Belted,Appendix B OCR / direct row,,1,1,HIGH,3,324,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-056,56,056,217,D70-14,GY,Goodyear,Custom Wide Tread Polyglas 2P+ZF/ZP..,,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,332,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-057,57,057,217,E70-14,GY,Goodyear,Custom Wide Tread Polyglas ZP+2F/2P,,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,340,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-058,58,058,218,G70-14,GY,Goodyear,Custom Wide Tread Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,348,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-059,59,059,218,G70-15,GY,Goodyear,Custom Wide Tread Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,356,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-060,60,060,218,A78-13,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,3,364,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-061,61,061,218,C78-14,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,372,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-062,62,06Z,218,D78-14,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,...,1,0,LOW,3,380,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-063,63,063,218,E78-14,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,388,2,0,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-064,64,064,218,H78-14,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,.,1,0,LOW,3,396,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-065,65,065,218,F78-14,GY,Goodyear,"Cu.,tom Power Cushion Polyglas",ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,3,404,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-066,66,066,218,G78-15,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,412,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-067,67,067,218,H78-15,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,420,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-068,68,068,218,J78-15,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-069,69,069,218,L78-15,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/2P,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,3,428,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-070,70,070,218,L84-15,GY,Goodyear,Custom Power Cushion Polyglas,ZP+ZF/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,436,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-071,71,071,218,D78-14,GY,Goodyear,Custom Polysteel,ZP+ZS/Zp,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,444,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-072,72,072,218,E78-14,GY,Goodyear,Custom Polysteel,ZP+ZS/Zp,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,452,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-073,73,073,218,F78-14,GY,Goodyear,Custom Polysteel Belted,ZP+ZS/Zp,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,3,460,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-074,74,074,218,G78-14,GY,Goodyear,Custom Polysteel,2P+2S/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,468,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-075,75,075,218,H78-14,GY,Goodyear,Custom Polysteel Belted,2Pt2S/2P,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,3,476,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-076,76,076,218,G78-15,GY,Goodyear,Custom Polysteel,ZP+ZS/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,4,17,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-077,77,077,218,H78-15,GY,Goodyear,Custom Polysteel Belted,4P+2S/4P,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-078,78,078,218,J78-15,GY,Goodyear,Custom Polysteel,4P+2S/4P.,BB,Bias Belted,Appendix B OCR / direct row,,1,0,LOW,4,25,1,1,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-079,79,079,218,L78-15,GY,Goodyear,Custom Polysteel,ZP+ZS/ZP,BB,Bias Belted,Appendix B OCR / direct row,,1,0,HIGH,4,33,2,1,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-080,80,080,218,L84-15,GY,Goodyear,Custom Polysteel,ZP+ZS/Zp,BB,Bias Belted,Appendix B OCR / direct row,,1,0,MEDIUM,4,41,4,2,2,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-081,81,081,219,G78-l4,KS,Kelly-Springfield,Citation G Ip,ZP+zF/zp,BB,Bias Belted,Appendix B OCR / direct row,.,1,0,MEDIUM,4,57,5,4,1,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
TIRF-082,82,08Z,219,G78-l5,KS,Kelly-Springfield,Citation G/p,ZN+ZF/ZN,BB,Bias Belted,Appendix B OCR / direct row,,0,0,,,,0,0,0,DIRECT PRIMARY,OCR/transcribed from Volume II Appendix B; raw field strings retained,1976 Calspan/NHTSA passenger-tire corpus,MECHANISM_ONLY,NOT_DIGITIZED_IN_SUPPLIED_INDEX
