document_target_id,status,priority_score,weakness_id,weakness,era,year_start,year_end,series_class,supplier,evidence_subtopic,repository_target,target_document_type,search_query,expected_evidence_fields,must_extract,acceptance_rule,do_not_infer,priority
DOC-00011,TO_ACQUIRE_REAL_DOCUMENT,170,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1972-1976,1972,1976,Le Mans GT1,Goodyear,tread pyrometer inner-middle-outer,motorsportmagazine.com archive,period race report / technical feature,"""Goodyear"" ""Le Mans GT1"" 1972 1976 tire tyre tread pyrometer inner-middle-outer setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00012,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1950-1959,1950,1959,Formula 3/Formula Junior,Bridgestone/other,blanket/preheat practice,FIA Historic Database,regulation/homologation,"""Formula 3/Formula Junior"" 1950 1959 tire tyre blanket/preheat practice setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00013,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1992-1996,1992,1996,World Rally/Rallycross,Pirelli,load heating,motorsportmagazine.com archive,period race report / technical feature,"""Pirelli"" ""World Rally/Rallycross"" 1992 1996 tire tyre load heating setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00014,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1977-1981,1977,1981,Formula 1,Firestone,warm-up rate,race team/setup book archive,setup book / test sheet,"""Firestone"" ""Formula 1"" 1977 1981 tire tyre warm-up rate setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00015,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1960-1965,1960,1965,Group C/IMSA GTP,Dunlop,pressure vs spring rate,SAE Mobilus,technical paper,"""Dunlop"" ""Group C/IMSA GTP"" 1960 1965 tire tyre pressure vs spring rate setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00016,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1997-2001,1997,2001,General racing tire,Avon,core vs surface temperature,race team/setup book archive,setup book / test sheet,"""Avon"" ""General racing tire"" 1997 2001 tire tyre core vs surface temperature setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00017,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1982-1986,1982,1986,Trans-Am/IMSA sedan,Michelin,cold-to-hot pressure rise,SAE Mobilus,technical paper,"""Michelin"" ""Trans-Am/IMSA sedan"" 1982 1986 tire tyre cold-to-hot pressure rise setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00018,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1966-1971,1966,1971,Club/Formula Ford,Firestone,camber temperature spread,race team/setup book archive,setup book / test sheet,"""Firestone"" ""Club/Formula Ford"" 1966 1971 tire tyre camber temperature spread setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00019,TO_ACQUIRE_REAL_DOCUMENT,130,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",2002-2010,2002,2010,Group 2/ETCC touring,Dunlop,track temperature effect,SAE Mobilus,technical paper,"""Dunlop"" ""Group 2/ETCC touring"" 2002 2010 tire tyre track temperature effect setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00020,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1987-1991,1987,1991,Japanese JGTC/GT500,Avon,pressure vs footprint,race team/setup book archive,setup book / test sheet,"""Avon"" ""Japanese JGTC/GT500"" 1987 1991 tire tyre pressure vs footprint setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00021,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1972-1976,1972,1976,Can-Am/Group 7,Michelin,cavity/internal air temperature,SAE Mobilus,technical paper,"""Michelin"" ""Can-Am/Group 7"" 1972 1976 tire tyre cavity/internal air temperature setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00022,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1950-1959,1950,1959,GT2/GTS,Goodyear,hot pressure target,race team/setup book archive,setup book / test sheet,"""Goodyear"" ""GT2/GTS"" 1950 1959 tire tyre hot pressure target setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00023,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1992-1996,1992,1996,1950s-60s sports racing,Bridgestone/other,nitrogen vs air,SAE Mobilus,technical paper,"""1950s-60s sports racing"" 1992 1996 tire tyre nitrogen vs air setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00024,TO_ACQUIRE_REAL_DOCUMENT,130,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1977-1981,1977,1981,Le Mans GT1,Pirelli,speed cooling,race team/setup book archive,setup book / test sheet,"""Pirelli"" ""Le Mans GT1"" 1977 1981 tire tyre speed cooling setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00025,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1960-1965,1960,1965,Formula 3/Formula Junior,Firestone,temperature equilibrium,SAE Mobilus,technical paper,"""Firestone"" ""Formula 3/Formula Junior"" 1960 1965 tire tyre temperature equilibrium setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00026,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1997-2001,1997,2001,World Rally/Rallycross,Dunlop,pressure vs deflection,race team/setup book archive,setup book / test sheet,"""Dunlop"" ""World Rally/Rallycross"" 1997 2001 tire tyre pressure vs deflection setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00027,TO_ACQUIRE_REAL_DOCUMENT,115,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1982-1986,1982,1986,Formula 1,Avon,tread pyrometer inner-middle-outer,manufacturer technical archive,supplier technical document,"""Avon"" ""Formula 1"" 1982 1986 tire tyre tread pyrometer inner-middle-outer setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
DOC-00028,TO_ACQUIRE_REAL_DOCUMENT,125,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",1966-1971,1966,1971,Group C/IMSA GTP,Michelin,blanket/preheat practice,Tire Science & Technology,peer-reviewed paper,"""Michelin"" ""Group C/IMSA GTP"" 1966 1971 tire tyre blanket/preheat practice setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P0
DOC-00029,TO_ACQUIRE_REAL_DOCUMENT,100,W01_PRESSURE_TEMP_SETUP,"Historical race cold/hot pressure, pyrometer/tread/core temperature, pressure-rise and setup evidence",2002-2010,2002,2010,General racing tire,Goodyear,load heating,manufacturer technical archive,supplier technical document,"""Goodyear"" ""General racing tire"" 2002 2010 tire tyre load heating setup sheet",pressure;temperature;pyrometer;setup,exact title; authors/organization; date; DOI/report/patent/regulation ID; stable URL; page/table/figure/section; units and test conditions; direct measurements vs observations vs rules; applicability and limitations; affected Tire Lab family/class; evidence confidence,"Resolve this target to ONE unique real document. A search-result page, category page, snippet, AI summary, or duplicate does not count. If no qualifying document is found after reasonable search, mark NO_DOCUMENT_FOUND and preserve the gap.",Do not invent numeric racing coefficients. Do not transfer passenger/truck/aircraft absolute magnitudes into racing without an explicit applicability bridge. Do not treat modern historic guidance as original-period data.,P1
