seed_id,title,year,publisher,url,focus,verification_status
FIA-F1-1995,Formula One Technical Regulations 1995,1995,FIA,https://historicdb.fia.com/sites/default/files/regulations/1728484024/formula_one_techical_regulations_1995.pdf,wheel/tyre dimensions;regulation,FULL_PDF_VERIFIED
FIA-F1-1998,Formula One Technical Regulations 1998,1998,FIA,https://historicdb.fia.com/sites/default/files/regulations/1728484315/formula_one_techical_regulations_1998.pdf,wheel/tyre dimensions;regulation,FULL_PDF_VERIFIED
FIA-F1-1983,Formula One Technical Regulations 1983,1983,FIA,https://historicdb.fia.com/sites/default/files/regulations/1728482560/formula_one_techical_regulations_1983.pdf,wheel/tyre dimensions;regulation,FULL_PDF_VERIFIED
FIA-F1-1984,Formula One Technical Regulations 1984,1984,FIA,https://historicdb.fia.com/sites/default/files/regulations/1728482861/formula_one_techical_regulations_1984.pdf,wheel/tyre dimensions;regulation,FULL_PDF_VERIFIED
MS-1994-GOODYEAR,The Crucible — Why Goodyear Goes Racing,1994,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/july-1994/126/the-crucible-why-goodyear-goes-racing/,race tire development;construction;F1,FULL_ARTICLE_VERIFIED
CALSPAN-MOTORSPORT,Motorsports Tire Testing,current,Calspan,https://calspan.com/automotive/tire-performance-testing/motorsports-tire-testing,F&M;pressure;camber;thermal;lap simulation,FULL_PAGE_VERIFIED
CALSPAN-SERVICES,Tire Testing Services,current,Calspan,https://calspan.com/automotive/tire-performance-testing/tire-testing-services,internal carcass/gas/surface temperature;deflection,FULL_PAGE_VERIFIED
MS-1978-CC,CC Racing Developments Ltd,1978,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/september-1978/46/cc-racing-developments-ltd/,Goodyear/Dunlop durability;Michelin intermediate,FULL_ARTICLE_VERIFIED
MS-1971-ROC,Race of Champions,1971,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/may-1971/36/race-champions/,intermediate vs dry;Goodyear/Firestone,FULL_ARTICLE_VERIFIED
MS-BRM-THERMAL,Doug Nye — BRM thermal history,2011,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/march-2011/132/doug-nye/,period BRM tire pressure/tread temperature/exhaust heat,FULL_ARTICLE_VERIFIED
MS-1972-ELAN,Elan Development,1972,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/january-1972/48/elan-development/,Dunlop compound code;size;intermediate,FULL_ARTICLE_VERIFIED
MS-1970-USGP,12th United States Grand Prix,1970,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/november-1970/36/12th-united-states-grand-prix/,supplier/compound event evidence;intermediates,FULL_ARTICLE_VERIFIED
MS-1979-USGP-E,1979 United States Grand Prix East,1979,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/november-1979/39/united-states-east-grand-prix-2/,qualifying compound;optimum temperature cold weather,FULL_ARTICLE_VERIFIED
MS-1973-GARDNER,Frank Gardner Keeps Trucking,1973,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/january-1973/38/frank-gardner-keeps-trucking/,touring tire construction;compound;intermediates,FULL_ARTICLE_VERIFIED
MS-1970-ADAC,"The ADAC 1,000 Kilometres",1970,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/july-1970/54/the-adac-1000-kilometers/,supplier wet-condition choice;endurance,FULL_ARTICLE_VERIFIED
MS-1971-CAN,1971 Canadian Grand Prix,1971,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/november-1971/50/the-fifth-canadian-grand-prix/,Goodyear G28 compound development,FULL_ARTICLE_VERIFIED
MS-1969-WG,Watkins Glen 6 Hours,1969,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/august-1969/22/watkins-glen-6-hours/,Dunlop 970 intermediate vs 184 dry;weight/overheat,FULL_ARTICLE_VERIFIED
MS-1970-AMCOMMENT,American Comment,1970,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/september-1970/24/american-comment/,intermediate overheating;handling recovery,FULL_ARTICLE_VERIFIED
TST-38-2-119,"Winter Tires: Operating Conditions, Tire Characteristics and Vehicle Driving Behavior",2010,Tire Science & Technology,https://tst.kglmeridian.com/view/journals/tist/38/2/article-p119.xml,temperature;pressure;surface;F&M methodology,FULL_ARTICLE_PAGE_VERIFIED
TST-28-2-72,A Three-Dimensional Dynamic Tire Model for Vehicle Dynamic Simulations,2000,Tire Science & Technology,https://tst.kglmeridian.com/view/journals/tist/28/2/article-p72.xml,sidewall nonlinear spring/damper;dynamic model,FULL_ARTICLE_PAGE_VERIFIED
TST-50-1-61,A Novel Nondestructive Procedure for Tire Tread Viscoelastic Characterization,2021,Tire Science & Technology,https://tst.kglmeridian.com/view/journals/tist/50/1/article-p61.xml,storage/loss modulus vs temperature,FULL_ARTICLE_PAGE_VERIFIED
TST-40-3-171,Interaction of Anti-lock Braking Systems with Tire Torsional Dynamics,2012,Tire Science & Technology,https://tst.kglmeridian.com/view/journals/tist/40/3/article-p171.xml,torsional stiffness/damping;transient slip,FULL_ARTICLE_PAGE_VERIFIED
GOODYEAR-G56,Goodyear Real-Time Tire Intelligence at Le Mans,2023,Goodyear,https://news.goodyear.eu/goodyear-introduces-first-real-time-tire-intelligence-capabilities-at-24-hours-of-le-mans/,pressure/temperature telemetry;dry/intermediate/wet menu,FULL_PAGE_VERIFIED
SAE-741100,The Effects of Tire Wear on Vehicle Behavior,1974,SAE / Toyota,https://saemobilus.sae.org/papers/effects-tire-wear-vehicle-behavior-741100,wear stages;cornering;bias-belted vs radial,ABSTRACT_PAGE_VERIFIED
SAE-810066,The Effect of Tire Aging on Force and Moment Properties of Radial Tires,1981,SAE / BFGoodrich,https://saemobilus.sae.org/papers/effect-tire-aging-force-moment-properties-radial-tires-810066,aging;cornering stiffness,ABSTRACT_PAGE_VERIFIED
SAE-810511,Computerized Tire Footprint Area Measurements,1981,SAE,https://saemobilus.sae.org/papers/computerized-tire-footprint-area-measurements-810511,footprint vs pressure/load/rotation,ABSTRACT_PAGE_VERIFIED
SAE-2010-01-0772,Effect of Aging on Tire Force and Moment Characteristics,2010,SAE,https://saemobilus.sae.org/papers/effect-aging-tire-force-moment-characteristics-2010-01-0772,aging;F&M,ABSTRACT_PAGE_VERIFIED
SAE-2016-01-8028,Incorporating Inflation Pressure into UniTire Model for Pure Cornering,2016,SAE,https://saemobilus.sae.org/papers/incorporating-inflation-pressure-unitire-model-pure-cornering-2016-01-8028,pressure/load interaction;cornering,ABSTRACT_PAGE_VERIFIED
SAE-2019-01-0623,Running Resistance Correction with Tire Temperature and Thermal Balance Model,2019,SAE / Honda,https://saemobilus.sae.org/papers/research-technique-correction-running-resistance-focus-tire-temperature-tire-thermal-balance-model-2019-01-0623,thermal balance;load/pressure/speed,ABSTRACT_PAGE_VERIFIED
SAE-350082,"Properties of Tires Affecting Riding, Steering and Handling",1935,SAE,https://saemobilus.sae.org/papers/properties-tires-affecting-riding-steering-handling-350082,pressure/rim width/cornering;wear,ABSTRACT_PAGE_VERIFIED
SAE-2012-01-0796,Estimation of Tire Temperature Distribution and Rolling Resistance under Running Conditions,2012,SAE / Honda,https://saemobilus.sae.org/papers/estimation-tire-temperature-distribution-rolling-resistance-running-conditions-including-environmental-factors-2012-01-0796,temperature distribution;thermal environment;RR,ABSTRACT_PAGE_VERIFIED
SAE-2007-01-4258,Effect of Load and Inflation Pressure on Contact Force and Pressure Distribution,2007,SAE,https://saemobilus.sae.org/papers/effect-load-inflation-pressure-contact-force-pressure-distribution-two-types-light-duty-truck-tires-2007-01-4258,contact patch;pressure;load;bias vs radial,ABSTRACT_PAGE_VERIFIED
SAE-700090,Speed and Load Programming of Endurance Type Tire Test Machines,1970,SAE,https://saemobilus.sae.org/papers/speed-load-programming-endurance-type-tire-test-machines-700090,durability test methodology;speed/load duty,ABSTRACT_PAGE_VERIFIED
SAE-2002-01-0553,Single Vehicle Wet Road Loss of Control; Effects of Tire Tread Depth and Placement,2002,SAE,https://saemobilus.sae.org/papers/single-vehicle-wet-road-loss-control-effects-tire-tread-depth-placement-2002-01-0553,wet;tread depth;load/pressure placement,ABSTRACT_PAGE_VERIFIED
SAE-900210,Measurement and Simulation of Transients in Longitudinal and Lateral Tire Forces,1990,SAE / Bosch,https://saemobilus.sae.org/papers/measurement-simulation-transients-longitudinal-lateral-tire-forces-900210,transient Fx/Fy;phase lag;torsional dynamics,ABSTRACT_PAGE_VERIFIED
SAE-2026-01-0645,Simulation Study on a Neural Tire Model Based on Grouped Feature Learning,2026,SAE / Formula Student,https://saemobilus.sae.org/papers/simulation-study-a-neural-tire-model-based-grouped-feature-learning-2026-01-0645,pressure/camber/load + temperature model;track calibration,ABSTRACT_PAGE_VERIFIED
SAE-650972,Some Parameters Affecting the Performance of Pneumatic Tires on Wet Pavement,1965,SAE,https://saemobilus.sae.org/papers/parameters-affecting-performance-pneumatic-tires-wet-pavement-650972,wet tread;hydrodynamic pressure;cornering/braking,ABSTRACT_PAGE_VERIFIED
MS-1985-F1,Formula One Preview,1985,Motor Sport Magazine,https://www.motorsportmagazine.com/archive/article/april-1985/21/formula-one-preview/,supplier transitions;Pirelli/Michelin/Goodyear,FULL_ARTICLE_VERIFIED
TST-52-1-15,Active and Semiactive Suspension Systems for Minimizing Tire Wear,2024,Tire Science & Technology,https://tst.kglmeridian.com/view/journals/tist/52/1/article-p15.xml,wear model;load/suspension effect,FULL_ARTICLE_PAGE_VERIFIED
TST-19-4-178,Finite Element Evaluation of the State of Cure in a Tire,1991,Tire Science & Technology,https://tst.kglmeridian.com/view/journals/tist/19/4/article-p178.xml,thermal properties/material processing;temperature history,FULL_ARTICLE_PAGE_VERIFIED
