weakness,subjectPeriodStart,subjectPeriodEnd,historicalClass,supplier,documentType,activeTargetCount
"W01_PRESSURE_TEMP_SETUP","1972","1976","USAC Championship Car / Indianapolis","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Bridgestone/other","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","International Formula 3000","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Group 2 / ETCC — 1976-1981","Firestone","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","General Tire Mechanics","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","International Formula 3000","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Trans-Am — 1973-1981","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1958","1959","Formula Junior","Avon","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","World Rally Championship — 1987-2001","Michelin","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Bridgestone/other","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Formula Junior","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","World Rally Championship — 1987-2001","Bridgestone/other","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Formula 1 — turbo/radial slick era","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Firestone","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1966","1970","Formula 3 — 1964-1970","Michelin","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Formula 1 — turbo/radial slick era","Dunlop","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","NASCAR stock car — 1992-2010","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Can-Am — revival","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Pirelli","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Bridgestone/other","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1979","1981","CART / Indy-car","Firestone","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Dunlop","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Historic Racing Reference","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Japanese GT / touring — pre-JGTC","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","CART / Indy-car","Avon","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","2004","International Formula 3000","Goodyear","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","CART / Indy-car","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Group 4 Special GT — 1970-1981","Bridgestone/other","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1958","1959","Formula Junior","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Avon","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Formula 1 — turbo/radial slick era","Firestone","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Goodyear","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","General Racing Tire","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Historic Racing Reference","Firestone","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Dunlop","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1993","1996","Le Mans Prototype transition","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Group C","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","NASCAR stock car — 1992-2010","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Can-Am — revival","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","Historic Racing Reference","Firestone","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Group C","Dunlop","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","USAC Championship Car / Indianapolis","Avon","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Michelin","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1994","1996","IMSA GT/GTS — 1994-2001","Michelin","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1979","1981","CART / Indy-car","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","Historic Racing Reference","Dunlop","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Trans-Am — 1973-1981","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Michelin","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Sports racing / prototypes — 1972-1981","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","US GT / sports racing — pre-IMSA GT","Pirelli","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Avon","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Can-Am — revival","Firestone","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","US GT / sports racing — pre-IMSA GT","Dunlop","period technical/race article","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","Historic Racing Reference","Avon","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Can-Am — revival","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Firestone","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1979","1981","CART / Indy-car","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Pirelli","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","General Tire Mechanics","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Club single-seater — pre-Formula Ford","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1993","1996","Group A / production touring — 1993-2001","Michelin","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Japanese GT / touring — pre-JGTC","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","IMSA GT/GTS — 1994-2001","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Trans-Am — 1973-1981","Michelin","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","Group A / production touring — 1993-2001","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Japanese GT / touring — pre-JGTC","Pirelli","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Firestone","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Firestone","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Sports racing / prototypes — 1972-1981","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","Historic Racing Reference","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Formula Junior","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Avon","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Group C","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1972","1975","Group 2 / ETCC — 1970-1975","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1966","1969","Group 4 Sports Cars — 1966-1969","Michelin","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","2004","2010","LMP1 / LMP2","Goodyear","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","IMSA GT — 1971-1981","Avon","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Club single-seater — pre-Formula Ford","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1993","1996","Group A / production touring — 1993-2001","Firestone","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","1969","Group 2 / ETCC — 1963-1969","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","Historic Racing Reference","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Formula Junior","Firestone","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Pirelli","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Trans-Am — 1982-2001","Dunlop","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Michelin","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","NASCAR stock car — 1992-2010","Michelin","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Historic Racing Reference","Goodyear","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","NASCAR stock car — 1992-2010","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1969","Group 4 Sports Cars — 1966-1969","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1979","1981","CART / Indy-car","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Firestone","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Club single-seater — pre-Formula Ford","Firestone","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","IMSA GT/GTS — 1994-2001","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1966","1969","GT40-era endurance","Avon","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","General Racing Tire","Firestone","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Trans-Am — 1973-1981","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","General Racing Tire","Avon","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Trans-Am — 1982-2001","Michelin","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Firestone","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Historic Racing Reference","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Avon","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Group 2 / ETCC — 1976-1981","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","General Tire Mechanics","Bridgestone/other","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Goodyear","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Group A touring — 1982-1992","Pirelli","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","NASCAR stock car — 1992-2010","Dunlop","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Club single-seater — pre-Formula Ford","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1966","1969","GT40-era endurance","Michelin","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Group A touring — 1982-1992","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Sports racing / prototypes — 1972-1981","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Formula Junior","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","World Rally Championship — 1987-2001","Avon","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","US GT / sports racing — pre-IMSA GT","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Group C","Avon","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","World Rally Championship — 2002-2010","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Formula 1 — turbo/radial slick era","Bridgestone/other","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1972","1975","Group 2 / ETCC — 1970-1975","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","International Formula 3000","Firestone","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Group 2 / ETCC — 1976-1981","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1958","1959","Formula Junior","Michelin","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","World Rally Championship — 1987-2001","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Group 4 Special GT — 1970-1981","Goodyear","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Formula Junior","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","World Rally Championship — 1987-2001","Pirelli","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Dunlop","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","General Racing Tire","Avon","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Historic Racing Reference","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Group C","Michelin","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Firestone","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Group C","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","NASCAR stock car — 1992-2010","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1969","Group 4 Sports Cars — 1966-1969","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1987","1974","Can-Am — original","Goodyear","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Pirelli","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1994","1996","IMSA GT/GTS — 1994-2001","Firestone","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1979","1981","CART / Indy-car","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Avon","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","IMSA GT/GTS — 1994-2001","Avon","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","CART / Indy-car","Michelin","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Sports racing / prototypes — 1950-1963","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","2002","1981","IMSA GT — 1971-1981","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","World Rally Championship — 1987-2001","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Michelin","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Avon","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","General Racing Tire","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Historic Racing Reference","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","US GT / sports racing — pre-IMSA GT","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","Historic Racing Reference","Pirelli","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1966","1970","US GT / sports racing — pre-IMSA GT","Firestone","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","Historic Racing Reference","Dunlop","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Group C","Avon","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Japanese GT / touring — pre-JGTC","Pirelli","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1994","1996","IMSA GT/GTS — 1994-2001","Goodyear","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Pirelli","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Japanese GT / touring — pre-JGTC","Michelin","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1987","1991","Japanese GT / touring — pre-JGTC","Bridgestone/other","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","US GT / sports racing — pre-IMSA GT","Firestone","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1992","1996","Historic Racing Reference","Dunlop","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Can-Am — revival","Dunlop","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Group 2 / ETCC — 1976-1981","Michelin","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","NASCAR stock car — 1992-2010","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Firestone","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","General Tire Mechanics","Pirelli","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1950","1959","Club single-seater — pre-Formula Ford","Michelin","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1993","1996","Group A / production touring — 1993-2001","Goodyear","technical paper","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Japanese GT / touring — pre-JGTC","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1960","1965","Club single-seater — pre-Formula Ford","Bridgestone/other","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1997","2001","Group A / production touring — 1993-2001","Pirelli","peer-reviewed paper","2"
"W01_PRESSURE_TEMP_SETUP","1982","1986","Japanese GT / touring — pre-JGTC","Firestone","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1967","1971","Formula Ford — 1967-1976","Goodyear","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","1969","Group 2 / ETCC — 1963-1969","Bridgestone/other","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1972","1976","Sports racing / prototypes — 1972-1981","Firestone","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1966","1971","Sports racing / prototypes — 1964-1971","Michelin","period race report / technical feature","2"
"W01_PRESSURE_TEMP_SETUP","2002","2010","General Racing Tire","Goodyear","setup book / test sheet","2"
"W01_PRESSURE_TEMP_SETUP","1977","1981","Historic Racing Reference","Dunlop","supplier technical document","2"
"W01_PRESSURE_TEMP_SETUP","1960","1963","Sports racing / prototypes — 1950-1963","Avon","peer-reviewed paper","2"
